รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
00470001,สพม.สกลนคร,47012012,ด่านม่วงคำพิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,33,1,3,14,17,1,19,25,44,2,43,51,94,4,12,12,24,1,9,12,21,1,14,22,36,2,0,0,0,0,0,0,0,0,0,0,0,0,35,46,81,4,78,97,175,8
00470001,สพม.สกลนคร,47012013,โพนพิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,64,2,38,40,78,3,25,31,56,2,95,103,198,7,20,41,61,2,13,36,49,2,14,30,44,2,0,0,0,0,0,0,0,0,0,0,0,0,47,107,154,6,142,210,352,13
00470001,สพม.สกลนคร,47012014,คำเพิ่มพิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,50,91,3,58,68,126,4,60,59,119,3,159,177,336,10,42,42,84,3,39,54,93,3,34,59,93,3,0,0,0,0,0,0,0,0,0,0,0,0,115,155,270,9,274,332,606,19
00470001,สพม.สกลนคร,47012015,ท่านผู้หญิงจันทิมาพึ่งบารมี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,66,136,4,46,52,98,3,38,49,87,3,154,167,321,10,47,56,103,3,40,51,91,3,44,44,88,3,0,0,0,0,0,0,0,0,0,0,0,0,131,151,282,9,285,318,603,19
00470001,สพม.สกลนคร,47022001,พังโคนวิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,183,355,10,173,190,363,10,182,208,390,10,527,581,1108,30,79,151,230,7,112,136,248,8,122,143,265,7,0,0,0,0,0,0,0,0,0,0,0,0,313,430,743,22,840,1011,1851,52
00470001,สพม.สกลนคร,47022002,กุดบากพัฒนาศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,136,252,7,100,127,227,6,100,111,211,7,316,374,690,20,106,131,237,7,104,148,252,7,102,122,224,8,0,0,0,0,0,0,0,0,0,0,0,0,312,401,713,22,628,775,1403,42
00470001,สพม.สกลนคร,47022003,พรรณาวุฒาจารย์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,128,264,8,157,134,291,8,109,105,214,8,402,367,769,24,84,94,178,5,79,115,194,5,73,114,187,5,0,0,0,0,0,0,0,0,0,0,0,0,236,323,559,15,638,690,1328,39
00470001,สพม.สกลนคร,47022004,บ้านบัวราษฎร์บำรุง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,90,3,38,33,71,2,36,35,71,2,119,113,232,7,21,13,34,1,5,14,19,1,7,8,15,1,0,0,0,0,0,0,0,0,0,0,0,0,33,35,68,3,152,148,300,10
00470001,สพม.สกลนคร,47022005,ลำปลาหางวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,24,1,6,13,19,1,22,10,32,1,43,32,75,3,9,12,21,1,13,10,23,1,5,6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,27,28,55,3,70,60,130,6
00470001,สพม.สกลนคร,47022007,เทพสวัสดิ์วิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20,1,10,9,19,1,9,12,21,1,31,29,60,3,14,13,27,1,8,9,17,1,17,7,24,1,0,0,0,0,0,0,0,0,0,0,0,0,39,29,68,3,70,58,128,6
